Q5127848	class	group of things derived from extensional or intensional definition (philosophy)
Q16889133	class	collection of items defined by common characteristics
Q10541491	legal form	type of legal entity within certain legal system
Q327333	government agency	organisational part of a government responsible for specific public services, such as health, judiciary, education, transportation, foreign affairs, etc
Q15642566	non-political administrative territorial entity	country subdivision that does not have its own government and exists only for administrative purposes
#Q5616099	census division	official census terminology used in the United States and Canada
#Q1053463	census geographic unit of Canada	term used in Canada
#Q3183364	administrative territorial entity of Spain	subclass of administrative territorial entities
Q17457753	census subdivision	an area in Canada designated for census purposes
#Q2824645	administrative territorial entity of Italy	
Q48909258	third-order administrative division	statistical classification in GeoNames
#Q747074	commune of Italy	municipal divisions of Italy
#Q1763214	municipio	country subdivisions in several Hispanophone and Lusophone nations
#Q2074737	municipality of Spain	administrative territorial entity of Spain
Q7604698	statutory authority	body set up by law which is authorised to enact legislation
Q699386	statutory corporation	corporation created by State, varying by jurisdiction in different states
#Q2183520	obec	Czech and Slovak word for a municipality
Q123705	neighborhood	geographically localized community within a larger city, town or suburb
Q3507889	administrative territorial entity of the Czech Republic	
#Q5153359	municipality of the Czech Republic	administrative territorial division of the Czech Republic
Q10374536	administrative territorial entity of Brazil	subdivisions of Brazil
#Q3184121	municipality of Brazil	administrative division of the states in Brazil
Q124250988	urban settlement	human settlement with high population density and infrastructure of built environment
Q7930989	city or town	type of human settlement
Q852446	administrative territorial entity of the United States	states, the District of Columbia, territories; and their subdivisions
Q188509	suburb	human settlement that is part of or near to a larger city or town
Q149621	district	type of administrative division, in some countries
Q17361443	administrative territorial entity of a state of the United States	
#Q13360155	county or county-equivalent	division of the United States
Q28575	county	geographical and administrative region in some countries
Q387917	administrative divisions of Germany	entities in the administrative structure of Germany
#Q47168	county of the United States	subdivision used by most states in the United States of America
Q4976993	civil parish	administrative, non-ecclesiastical, division
Q3957	town	settlement that is smaller than a city but bigger than a large village (or a large borough in some areas)
Q1850442	administrative territorial entity of Japan	type of region within Japan
#Q262166	municipality in Germany	lowest official level of territorial division in Germany
Q948571	organ of state	body with power given by the state
Q35798	executive branch	branch of the government that has sole authority and responsibility for the administration of the state
Q25107	power	ability to influence the behavior of others
Q2324993	state power	type of political power
Q2101636	political power	power given to man by holding a political office
Q18340964	power	philosophical concept
Q9305769	municipal government	governing body of a particular territory
Q2097994	municipal corporation	legal term for a local governing body
Q855451	administrative territorial entity of Poland	administrative territorial entity of a single country
Q10864048	first-level administrative division	administrative division directly subordinate to or under administration of a national government
Q1342205	administrative territorial entity of Peru	administrative subdivision of Peru
#Q2179958	district of Peru	third level administrative subdivision of Peru
Q15633191	distrito	Spanish-language subdivision term
Q96088545	former geographical object	geographical object that has been abandoned, destroyed or demolished
Q15893266	former entity	entity that no longer operates or is terminated
#Q15334	gmina	municipal-level administrative division of Poland
Q52551684	historical geographic location	countries known in remote history (as Byzantium) or former names of countries reflecting political changes in the 19th or 20th century (as East Germany)
Q1620908	historical region	geographic or cultural region which existed in the past, that may or may not exist anymore
Q19832712	historical administrative division	administrative division which existed in the past, that may or may not still exist.  (Use subclass Q19953632 for divisions which no longer exist).
Q515	city	large human settlement
Q19953632	former administrative territorial entity	administrative division which is no longer in use
Q48748864	corporation in Japan	group of persons operating for a certain purpose as established under Japanese law
Q27116296	local public entity	local government in Japan
Q11448232	establisher of a school	legal term for the entity that established an educational institution in Japanese law
Q11391926	public service corporation	legal status in Japan
#Q1054813	municipality of Japan	municipalities in Japan in four types
Q3750285	administrative territorial entity of Canada	different levels of administrative divisions of Canada
Q7543083	avenue	wide, straight, usually tree-lined road or approach
Q117351898	ordinary local public entity	One of Japan's local public entities, prefectures and municipalities.
Q361733	administrative territorial entity of Austria	
#Q117351913	city, town or village of Japan	collective term for municipalities of Japan, excluding special wards
Q10354598	rural settlement	settlement in the areas defined as rural by a governmental office
Q532	village	small clustered human settlement smaller than a town
Q2983893	quarter	division or section, region or part of a town, city or municipality, which may be an administrative unit
Q782198	administrative territorial entity of Australia	territorial subdivision of Australia
#Q667509	municipality of Austria	local administrative unit in Austria
#Q116457956	non-urban municipality in Germany	municipality without town privileges in Germany
Q19730508	former municipality	municipality that no longer exists as independent entity
#Q7632426	suburb/locality	gazetted geographic subdivision of Australia
#Q3788231	municipal government in Canada	type of local council authority in Canada
#Q41773366	NUTS 3 statistical territorial entity	
Q688718	administrative territorial entity of Quebec	overview of political subdivisions of Quebec
Q2520520	administrative territorial entity of Hungary	types of government divisions within Hungary
Q11917457	subdivisions of Catalonia	outline of Catalonia's administrative subdivisions
Q717478	administrative territorial entity of the United Kingdom	geographical subdivisions of local government in Great Britain and Northern Ireland
#Q33146843	municipality of Catalonia	administrative division of Catalonia, Spain
Q15640612	fifth-level administrative division	administrative division subordinate to or under administration of a fourth-level division
#Q81063407	local administrative entity of quebec	
Q21869758	delegated commune	
Q7631075	administrative territorial entity of Switzerland	overview about the subdivisions of Switzerland
Q171634	administrative territorial entity of England	administrative division or non-administrative ceremonial area of England
#Q70208	municipality of Switzerland	smallest government division in Switzerland
#Q8776398	collective population entity of Spain	statistic unit
#Q55102916	parish of Asturias	subdivision (parroquia) of Asturias, Spain
Q1626455	parroquia	term used in Spanish-speaking countries, equivalent to the English parish
#Q14502790	settlement of Hungary	
Q1350310	administrative territorial entity of the Philippines	four levels of administrative divisions in the Philippines
Q34876	province	administrative division in several countries
#Q1115575	civil parish	territorial designation and lowest tier of local government in England, UK
#Q3327873	local municipality of Quebec	administrative division of the province of Quebec, Canada
#Q5124673	Scottish civil parish	civil administrative division of Scotland, below the level of local authority
#Q65948724	neighborhood in Japan	administrative divisions in Japan
#Q3327870	municipality in the United States	type of administrative territorial division in the United States
#Q3504085	rural municipality	administrative division of Poland
#Q98433835	suburb/locality of Tasmania	gazetted geographic subdivision of Tasmania
#Q115252541	municipal part	part of the municipality with a separate row of house numbers
Q207934	avenue	straight route with a line of trees or large shrubs running along each side
#Q28111	township in the United States	one of several types of geographic areas
Q19610511	township	designation for an administrative territorial entity
Q4286337	city district	type of administrative division
#Q1394476	civil township	unit of local government in the United States
#Q2590631	municipality of Hungary	administrative division of Hungary
#Q24764	municipality of the Philippines	administrative division in Philippine provinces
Q11618279	LAU 1	former designation type for local administrative units within the EU's NUTS geocode standard
Q2365748	administrative territorial entity of India	subnational administrative units of India
Q125855456	statistical territorial entity of India	a unit of the Indian census
#Q123754112	municipality of the Valencian Community	municipality of the autonomous Valencian Community, Spain
#Q253019	Ortsteil	named subdivision or section of a human settlement in Germany, Austria or Switzerland
Q20719696	physico-geographical object	a physical as opposed to abstract geographical object
#Q54115138	municipality of New Jersey	political division of the state of New Jersey, United States
Q2897903	goods and services	outcome of human efforts to meet the wants and needs of people
Q15253706	city	type of populated places in South Korea, Japan, the United States, China, North Korea, Taiwan, and France
#Q494721	city of Japan	administrative division of Japan
Q28877	goods	tangible or intangible thing, except a service, that satisfies human wants and provides utility
Q1400881	property	physical or intangible entity, owned by a person or a group of people
#Q5327369	chōchō	subdivision of a city in Japan
Q15623264	subdivisions of Belgium	
Q31464082	source	entity (person, place, text, thing, etc.) from which something (information, goods, etc.) comes or is acquired
Q1554231	resource	source or supply from which benefit is produced
Q46737	asset	economic resource, from which future economic benefits are expected
Q104127086	memory	information stored in the mind, including facts, knowledge, skills, and episodic memories
Q12488383	content	matter or entity that is contained
Q11028	information	that which informs; the answer to a question; that from which knowledge can be derived
Q9081	knowledge	mental possession of information or skills, often contributing to understanding
Q1151067	rule	prescription, including laws, regulations, instructions, guidelines, and social conventions; determinate method for performing any operation
Q628523	message	discrete unit of communication intended by the source for consumption by some recipient or group of recipients
Q15621286	intellectual work	work created through human thought and perception, including creative work
Q6042535	intangible property	describes something which a person or corporation can have ownership of and can transfer ownership to another person or corporation, but has no physical substance, for example brand identity or knowledge/intellectual property
Q2386606	subjective right	legal position allowing a person to require a certain thing from another person or other persons
Q2006324	agreement	understanding between entities to follow a specific course of conduct
Q1146011	exclusive right	a non-tangible prerogative existing in law
Q780687	rights	fundamental legal, social, or ethical principles of freedom or entitlement according to some legal system, social convention, or ethical theory
Q427581	intangible asset	asset that lacks physical substance and usually is very hard to evaluate
Q332624	erga omnes	Latin term used for legal purposes
Q321839	agreement	understanding, agreement between two or more contracting persons, parties or entities
Q202722	consensus	general agreement on a subject
Q131257	intellectual property	intangible asset consisting of ownership of ideas and processes
Q7748	law	system of rules and guidelines, generally backed by governmental authority
Q96196009	former or current state	political state, whether former or current
Q874405	social group	two or more humans who interact with one another
Q21157127	cluster	collection of entities that are physically or conceptually close to each other
Q177634	community	social unit of human organisms who share common values
Q533309	administrative territorial entity of Norway	
Q2920644	environment	in systems and engineering, part of the universe outside the boundaries of a system
Q3299260	local government area	administrative division of a country that a local government is responsible for
#Q755707	municipality of Norway	type of administrative division in Norway
Q52105	habitat	ecological or environmental area inhabited by a particular species; natural environment in which an organism lives, or the physical environment that surrounds a species population
Q43619	natural environment	all living and non-living things occurring naturally on Earth or some region thereof
#Q19576	wilayah	administrative division
Q15324	body of water	any significant accumulation of water, generally on a planet's surface
Q2507626	water area	an area of water surrounded by natural or artificial boundaries
Q1896989	subject of international law	
#Q493522	municipality of Belgium	administrative division of Belgium
Q7275	state	organised community living under a system of government; either a sovereign state, constituent state, or federated state
Q3523102	source of information	source of information for somebody, i.e. anything that might inform a person about something or provide knowledge about it
Q286583	manifestation	physical or digital embodiment of an information artifact
Q161243	dependent territory	territory that does not possess full political independence as a sovereign state
Q646728	administrative territorial entity of Finland	
Q1434505	administrative territorial entity of Indonesia	Tiers of government
Q41791733	statistical territorial entity of Portugal	
#Q3775649	subregion of Portugal	
Q863944	land waters	all areas of water and watercourses located on land, including groundwater
Q51041800	religious administrative entity	entity with control over a religion or part of a religion
Q20926517	religious administrative territorial entity	religious administration over a geographic area
Q5982983	jurisdiction	distinct area subject to a government and set of laws, such as a country or federated state
Q1530022	religious organization	organization that supports the practice of a religion
Q1492823	ecclesiastical district	Christian administrative territorial entity of any size or name
#Q2479431	open water	body of water
#Q1389310	waterbody	coherent sub-unit in the river basin (district) to which the environmental objectives of the Water Framework Directive apply
Q13539802	place with town rights and privileges	place with town rights and privileges
Q94670589	Christian organization	organization related to Christianity
Q23955632	Catholic organization	organization sharing similar beliefs and goals as the Roman Catholic Church
Q50218	administrative territorial entity of the Republic of China	class of region within Republic of China
#Q111737478	Catholic ecclesiastical district	
Q380230	administrative territorial entity of Portugal	overview about the administrative territorial entity of Portugal
#Q665487	diocese	Christian district or see under the supervision of a bishop
#Q16615865	coastal water body	a surface water body extending up to one nautical mile from the territorial water baseline, extending where appropriate up to the outer limit of transitional waters
Q163740	nonprofit organization	organization operated for a collective benefit
#Q3146899	diocese of the Catholic Church	Those sees that are under the supervision of a bishop of the Catholic church
#Q12479774	second-level administrative country subdivision in Indonesia	administrative division in Indonesia below province, it includes kota (city) or kabupaten (regency)
Q558941	administrative territorial entity of Yemen	types of bureaucratic divisions in Yemen
#Q23010647	suburb of Perth	geographically localised and defined community within metropolitan Perth, Western Australia
Q37866906	information resource	resource meant to distribute information
Q49848	document	form for preservation of structured and identified information
#Q42744322	urban municipality in Germany	municipality with town privileges in Germany (may e.g. legally prepend "Stadt" to its name)
Q15630906	rural district	designation for an administrative territorial entity
#Q247073	powiat	second-level administrative division of Poland
Q2836357	administrative territorial entity of Guatemala	
#Q123127825	regencies and cities of Indonesia	second-level subdivision of Indonesia
#Q12081657	township level division of the Republic of China	ADM3 in Taiwan
Q12076831	hierarchy of administrative territorial entities of countries in Europe	
Q4057633	hierarchy of administrative territorial entities	structure by which a state is subdivided for administration
Q2067937	tree structure	way of representing the hierarchical nature of a structure in a graphical form
Q1531349	outline	list arranged to show hierarchical relationships
Q243669	subdivisions of Slovakia	
Q54114	boulevard	type of large road, usually running through a city
#Q6617100	district of Yemen	division of a governorate of Yemen
#Q18511725	market town	settlement that has the right to host markets
#Q15623456	administrative territorial entity of a defunct state	administrative territorial entity of a state no longer existing
#Q1872284	municipality of Guatemala	administrative division
#Q1802801	rural municipality of Austria	type of Austrian rural municipality
Q1549591	big city	city with a population of at least 100,000
#Q856076	municipality of Finland	local level of administration in Finland
Q8435708	administrative territorial entity of Cyprus Republic	
#Q7604380	statistical area of the United States	defined statistical regions of the United States
#Q5951278	urban area of the United States	statistical area of the United States, defined by the U.S. Census Bureau
#Q1093829	city in the United States	administrative division at the local government level in the United States
Q2916486	administrative territorial entity type of Turkey	provinces and districts of the Republic of Turkey
#Q562061	market municipality	municipality in some German-speaking regions; usually has a historical legal right to hold markets and fairs
#Q15734684	Körperschaft des öffentlichen Rechts	form of corporate personhood in Germany
#Q1149652	district of India	third-level administrative division in India, below the level of a states or territories, but above the subdivision and subdistrict levels
Q1418640	local government in Germany	type of governmental entity in Germany
#Q914262	administrative territorial entity of Sweden	
#Q27676428	municipality	type of municipality in Quebec; these are municipalities that only have "municipality" in their status
Q41761295	administrative territorial entity of China	before split into PRC and ROC
Q50231	administrative territorial entity of the People's Republic of China	class of region in People's Republic of China
#Q2276925	municipality of Galicia	administrative territorial entity of Galicia, Spain
#Q3191695	regency of Indonesia	second-level subdivision of Indonesia
Q115385481	fiat object part	obo ontology term; part of an object demarcated from the remainder of the object by declaration
#Q17051044	mahalle	type of subdivision in Turkey
Q27096220	natural geographic entity	natural geographic entities including groups, areas, and regions
Q1633408	concelho	municipality in Portuguese language countries
#Q106658	district of Germany	part of the geopolitical division of Germany
#Q6664406	local government in Pennsylvania	government below the state level in Pennsylvania, United States
Q2198484	municipal district	administrative entity
Q6721654	administrative territorial entity of Algeria	
Q15042137	administrative divisions of the Netherlands	political divisions of the Netherlands
Q3648563	public body of the Netherlands	type of administrative division in the Netherlands
Q115385384	astronomical body part	part of an astronomical object
Q35145263	natural geographic object	geographical object created by natural causes
#Q13217644	municipality of Portugal	second-level administrative country subdivision of Portugal
#Q127448	municipality of Sweden	local administrative subdivisions of Sweden
#Q1059478	town of Japan	administrative division of Japan
#Q6784672	municipality of Slovakia	municipality in Slovakia
#Q2039348	municipality of the Netherlands	third-level administrative division in the Netherlands
#Q3491915	urban-rural municipality	administrative division of Poland
#Q29414133	community of Cyprus Republic	type of administrative division of Cyprus Republic
#Q11774097	county of Texas	political subdivision of Texas, United States
#Q6256	country	distinct territorial body or political entity
Q5004679	path	small road or street
Q7688	raion	administrative division in several countries
#Q515483	baladiyah	type of Arabic administrative division that can be translated as district or municipality
Q1499928	Gemarkung	cadastral district in German, Swiss and some other European cadastral systems
#Q45242174	gazetted locality of Victoria	bounded locality in Victoria, Australia registered under section 11 of the Geographic Place Names Act 1998 (Vic)
#Q2989398	commune of Algeria	administrative division of Algeria
#Q105626471	subdistrict of India	unit of Indian Census below district
#Q2775236	community development block in India	rural area earmarked for administration and development in India
#Q122987743	community development block in West Bengal	class of developmental administrative subunit of West Bengal in India, at a level below a district but above a village
#Q61763947	municipality of Aragon	municipality of the Autonomous community of Aragon, Spain
Q61763780	administrative territorial entity of Aragon	
#Q1349648	municipality of Greece	2nd level of administrative subdivision of Greece
#Q21682724	municipal district of Finland	district of a municipality or city in Finland
Q107390	federated state	territorial and constitutional community forming part of a federal union
#Q3327899	municipality of Ontario	incorporated settled area in Ontario, Canada
Q643589	department	term for an administrative territorial entity in some countries
#Q133269612	municipality of Segovia	municipality of the Province of Segovia, Spain
#Q7830213	township of New Jersey	administrative unit in New Jersey, United States
Q1077333	administrative divisions of Thailand	administrative divisions of a unitary state in Southeast Asia
Q183366	territory	area of land under a certain jurisdiction
Q12766313	geomorphological unit	topographic or bathymetric feature in a particular geographic location (eg. hill, river valley, mountain range, etc.)
Q271669	landform	a natural or anthropogenic land feature on the solid surface of the Earth or other planetary body; geomorphological unit in the Earth sciences
#Q509686	province of Peru	second level administrative subdivision of Peru
#Q66752884	aza	entity of territorial administration
